image_name,cx,cy,w,h,shape_type,theta,r,g,b
1,0.0,0.0,0.0,0.0,-1,0.0,171,173,93
1,141.31053,151.77783,71.88349,101.732544,1,1.5217619,253,231,255
1,40.360245,165.18733,162.78328,74.70737,0,1.5399222,107,122,4
1,227.69128,234.28445,56.09314,42.730583,0,3.130849,28,0,30
1,146.48096,34.07947,221.31494,70.78147,0,0.02848038,222,240,96
1,127.42674,235.48056,116.981,39.126633,1,3.0185006,226,179,220
1,224.32074,76.67504,66.14904,155.01266,0,0.035953343,221,231,103
1,84.45757,186.48924,36.33914,132.69093,0,1.99482,105,113,24
1,196.39728,130.95218,33.723755,193.20276,0,2.9295163,147,156,48
1,49.448963,193.25964,102.261154,94.10886,0,0.746966,127,140,36
1,63.339123,64.48301,56.611145,98.99553,0,1.2632554,187,203,95
2,0.0,0.0,0.0,0.0,-1,0.0,200,148,146
2,163.08388,181.49582,191.87312,71.95334,0,0.81112957,255,245,221
2,73.94727,169.82085,102.104004,34.89592,0,1.0068662,62,0,0
2,60.631706,32.99989,135.34662,65.3783,1,0.03341335,103,16,52
2,128.17868,234.09854,40.749268,255.40158,0,1.6026305,255,255,220
2,206.84319,130.77785,150.45943,48.683823,1,1.8956653,180,47,71
2,10.644154,51.622635,126.76967,25.806778,1,1.6179482,27,70,97
2,32.49562,86.161385,147.22986,58.705452,0,1.6627587,177,99,124
2,36.526848,208.2524,33.727875,107.04053,0,2.3871634,255,255,255
2,239.04721,18.038074,40.21411,32.259224,1,2.1279628,3,41,75
2,77.0985,191.59462,54.604126,94.344406,1,1.9563502,123,32,64
3,0.0,0.0,0.0,0.0,-1,0.0,183,178,151
3,93.86766,181.70294,168.45007,68.482056,0,2.0454075,253,224,229
3,204.66199,117.60962,124.147995,94.56807,1,2.0570207,138,129,98
3,52.83017,132.9248,54.19902,119.451385,0,3.0495894,133,128,94
3,18.554348,63.40206,37.357254,116.740906,0,3.1372118,145,232,215
3,42.24521,241.48035,32.593285,98.314224,1,1.538736,253,249,255
3,236.29858,193.32289,94.64441,35.33029,1,1.6789494,122,123,84
3,116.45268,121.7511,30.484566,139.32196,0,2.7102337,254,228,221
3,190.07846,41.19056,107.67189,52.060524,1,0.7726613,220,221,168
3,181.33986,195.03629,173.82408,57.055458,1,2.4582062,180,171,132
3,239.14035,41.5999,23.16639,77.46707,1,2.7874265,101,96,72
4,0.0,0.0,0.0,0.0,-1,0.0,132,159,196
4,136.70557,177.27602,73.60095,157.6269,0,2.6365888,255,224,136
4,97.30192,203.9907,62.919106,36.226563,0,0.65459776,0,0,6
4,210.72897,209.26172,74.72409,82.04352,0,0.30142167,34,55,134
4,102.17494,27.74784,205.5162,56.35778,0,3.1410356,130,217,255
4,119.75383,81.07059,184.45206,46.562004,0,0.13435718,55,87,153
4,217.85823,98.28136,168.51973,75.048965,0,1.5243951,76,151,252
4,30.13861,236.00574,65.43855,48.363064,1,3.0970829,255,255,255
4,39.391632,186.45714,51.052612,84.269455,1,1.6945635,25,88,200
4,118.98369,144.81128,83.85574,115.15007,1,2.0911908,255,243,198
4,113.32878,223.98526,85.02695,21.277084,0,2.345193,0,0,0
5,0.0,0.0,0.0,0.0,-1,0.0,216,171,119
5,179.18596,175.96822,187.77072,69.289024,0,0.5891421,249,241,234
5,53.244354,169.54773,172.04199,67.5139,0,1.3835492,190,101,21
5,191.57521,126.0622,117.628235,54.719933,0,0.9949502,169,102,41
5,229.95895,218.62137,53.387863,101.76141,1,0.09829959,234,255,255
5,46.186172,35.861664,117.675,57.68055,1,2.6925654,255,255,196
5,215.0541,119.924484,239.595,38.172775,1,1.8438803,226,151,34
5,207.88641,116.27864,129.12103,17.205482,0,1.6386858,255,255,168
5,165.85507,93.58229,33.87834,50.186348,0,0.5917088,43,47,89
5,175.73814,44.60781,86.22719,120.268005,0,1.6498368,229,155,45
5,199.77274,50.15706,91.39705,25.805847,0,1.3277483,255,255,165
6,0.0,0.0,0.0,0.0,-1,0.0,139,125,143
6,134.3767,162.73994,113.81386,80.00664,0,1.6090639,255,255,255
6,58.02646,147.35777,177.92838,66.723335,0,1.6708851,17,21,66
6,160.42398,56.269318,95.69719,188.52522,1,1.8518606,32,36,82
6,244.17111,172.06683,174.68547,20.84761,0,1.5641875,255,255,255
6,53.019974,45.75627,106.25253,92.79385,0,3.1231241,183,195,242
6,123.46318,126.17247,47.271416,113.95212,1,0.15532172,255,255,252
6,181.1221,212.27043,93.30257,82.42018,1,2.0035052,109,27,35
6,236.88297,19.054497,36.670166,40.526344,0,3.1361895,255,255,255
6,225.22803,137.45389,44.7073,78.32301,1,0.96633315,255,255,229
6,55.808807,111.58058,246.3852,80.814606,1,1.9537836,55,58,116
